trial_index,start_time,end_time,TTP,ChosenPort,CorrectPort,outcome,LED,angle_offset,target_zone_size,mouseID,training/testing,day,session,dataset,session_dict,filter_profile
40,26274.908992,26283.464992,1.0519999999996799,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
41,26284.464992,26294.888,2.226016000000527,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
42,26295.888,26312.288992,2.1769920000006096,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
43,26313.288992,26323.227488,3.2664960000001884,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
44,26324.227488,26340.350976,1.9889920000023267,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
45,26341.350976,26350.009984,2.9990079999988666,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
46,26351.009984,26362.60448,1.8424960000011197,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
47,26363.60448,26375.52848,2.4154880000023695,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
48,26376.52848,26384.148,2.1870080000007874,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
49,26385.148,26402.682496,2.7725119999995513,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
50,26403.682496,26429.0,3.8900160000011965,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
51,26430.0,26437.368,1.4570239999993646,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
52,26438.368,26456.809984,2.0990080000010494,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
53,26457.809984,26471.697984,3.035007999998925,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
54,26472.697984,26480.513984,2.1510080000007292,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
55,26481.513984,26493.052,2.3400000000001455,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
56,26494.052,26509.324992,2.112992000002123,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
57,26510.324992,26528.482496,5.019520000001648,-1,14,Miss,OFF,,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
58,26529.482496,26537.84048,3.2295039999989967,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
59,26538.84048,26620.588,3.5760000000009313,13,14,Failure,OFF,-20.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
60,26621.588,26629.956992,2.4969920000003185,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
61,26630.956992,26639.525984,2.8150080000013986,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
62,26640.525984,26656.364992,3.3040000000000873,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,all_trials
