session,trial_index,outcome,setup_duration,search_duration,outbound,poke_latency
NoSoundCue (control),1,success,8.612991999998485,31.87798400000247,40.490976000000956,2.025023999998666
NoSoundCue (control),2,success,6.962976000002527,1.7260160000005271,8.688992000003054,2.0049919999983103
NoSoundCue (control),3,success,6.828000000001339,2.48700800000006,9.315008000001399,2.4150079999999434
NoSoundCue (control),4,success,2.0280000000020664,1.9719999999979336,4.0,1.9425279999995837
NoSoundCue (control),5,success,6.853503999998793,6.981983999998192,13.835487999996985,1.7415040000014415
NoSoundCue (control),6,success,2.0220159999989846,1.7960000000020955,3.81801600000108,0.9224959999992279
NoSoundCue (control),7,success,7.5619839999999385,0.5170240000006743,8.079008000000613,1.6964799999987008
NoSoundCue (control),8,success,2.0324800000016694,3.9860159999989264,6.018496000000596,1.1269759999995586
NoSoundCue (control),9,success,8.764992000000348,3.2140159999980824,11.97900799999843,2.7204799999999523
NoSoundCue (control),10,success,2.0180159999981697,3.268000000000029,5.286015999998199,0.7619840000006661
NoSoundCue (control),11,success,8.037983999998687,2.9670079999996233,11.00499199999831,1.5264960000022256
NoSoundCue (control),12,success,2.0110079999976733,5.420992000003025,7.4320000000006985,1.1470079999999143
NoSoundCue (control),13,success,7.707999999998719,1.257023999998637,8.965023999997356,1.9619840000013937
NoSoundCue (control),14,success,2.0135039999986475,2.997984000001452,5.011488000000099,1.594015999999101
NoSoundCue (control),15,success,8.64147199999934,5.225023999999394,13.866495999998733,2.3634880000026897
NoSoundCue (control),16,success,2.017471999999543,6.527008000000933,8.544480000000476,1.2470079999984591
NoSoundCue (control),17,success,6.086016000001109,0.32400000000052387,6.410016000001633,1.8979839999992691
NoSoundCue (control),18,success,2.0264959999985876,3.431007999999565,5.457503999998153,1.6759999999994761
NoSoundCue (control),19,success,7.67398399999729,7.515999999999622,15.189983999996912,2.770016000002215
NoSoundCue (control),20,success,2.0384960000010324,6.3609920000017155,8.399488000002748,2.8984959999979765
NoSoundCue (control),21,success,8.278015999996569,6.98198400000183,15.2599999999984,1.8400000000001455
NoSoundCue (control),22,success,2.0139840000010736,6.995007999998052,9.008991999999125,7.891007999998692
NoSoundCue (control),23,success,7.848000000001775,3.112991999998485,10.96099200000026,2.6950080000024172
NoSoundCue (control),24,miss,2.0275199999996403,3.382976000000781,5.410496000000421,5.010016000000178
NoSoundCue (control),25,success,2.033024000000296,0.029984000000695232,2.063008000000991,4.071999999996478
NoSoundCue (control),26,success,2.008671999999933,5.464831999997841,7.473503999997774,1.5939840000028198
NoSoundCue (control),27,success,2.0187839999998687,5.597983999999997,7.616767999999865,2.9969920000003185
NoSoundCue (control),28,success,2.0099840000002587,1.8609919999980775,3.870975999998336,1.0615040000011504
NoSoundCue (control),29,success,7.180000000000291,6.669984000000113,13.849984000000404,3.2665280000001076
NoSoundCue (control),30,fail,6.988479999999981,42.502016000002186,49.49049600000217,2.731231999998272
NoSoundCue (control),31,success,7.070496000000276,0.020992000001569977,7.091488000001846,3.211007999998401
NoSoundCue (control),32,success,7.3879999999990105,2.667008000000351,10.055007999999361,3.887008000001515
NoSoundCue (control),33,success,6.549984000001132,2.6180160000003525,9.168000000001484,2.1539839999968535
NoSoundCue (control),34,success,6.694015999997646,0.5659840000007534,7.259999999998399,2.9130240000013146
NoSoundCue (control),35,success,6.389503999998851,0.25497600000016973,6.644479999999021,2.1850240000021586
NoSoundCue (control),36,success,8.867487999999867,2.3670079999974405,11.234495999997307,3.3920000000034634
NoSoundCue (control),37,success,8.562015999999858,27.8569920000009,36.41900800000076,3.0220159999989846
NoSoundCue (control),38,success,6.965984000002209,3.912000000000262,10.87798400000247,3.8855039999980363
NoSoundCue (control),39,miss,8.915007999999943,0.002016000002186047,8.91702400000213,5.0179839999982505
NoSoundCue (control),40,success,8.230975999998918,18.02902400000312,26.260000000002037,4.118975999997929
NoSoundCue (control),41,miss,6.288480000002892,3.3980159999991884,9.68649600000208,5.00499199999831
