USID,mouse,day,session,n_trials,n_trials_parser,n_trials_events,matches
MR_M01569515__Day 7__2026-04-03T14-48-17,MR_M01569515,Day 7,2026-04-03T14-48-17,126,25,25,True
MR_M01569515__Day 7__2026-04-03T14-54-33,MR_M01569515,Day 7,2026-04-03T14-54-33,126,13,13,True
MR_M01569515__Day 7__2026-04-03T14-58-29,MR_M01569515,Day 7,2026-04-03T14-58-29,126,9,9,True
MR_M01569515__Day 7__2026-04-03T15-00-16,MR_M01569515,Day 7,2026-04-03T15-00-16,126,21,21,True
MR_M01569515__Day 7__2026-04-03T15-06-04,MR_M01569515,Day 7,2026-04-03T15-06-04,126,9,9,True
MR_M01569515__Day 7__2026-04-03T15-07-32,MR_M01569515,Day 7,2026-04-03T15-07-32,126,35,35,True
MR_M01569515__Day 7__2026-04-03T15-15-16,MR_M01569515,Day 7,2026-04-03T15-15-16,126,3,3,True
MR_M01569515__Day 8__2026-04-04T13-32-22,MR_M01569515,Day 8,2026-04-04T13-32-22,136,136,136,True
MR_M01569515__Day 9__2026-04-05T14-53-49,MR_M01569515,Day 9,2026-04-05T14-53-49,136,61,61,True
MR_M01569515__Day 9__2026-04-05T15-08-02,MR_M01569515,Day 9,2026-04-05T15-08-02,136,25,25,True
MR_M01569515__Day 9__2026-04-05T15-11-26,MR_M01569515,Day 9,2026-04-05T15-11-26,87,44,44,True
MR_M01569515__Day 9__2026-04-05T15-22-53,MR_M01569515,Day 9,2026-04-05T15-22-53,116,20,20,True
MR_M01569515__Day 9__2026-04-05T15-26-15,MR_M01569515,Day 9,2026-04-05T15-26-15,116,8,8,True
MR_M01569515__Day_11__2026-04-08T13-46-57,MR_M01569515,Day_11,2026-04-08T13-46-57,65,25,25,True
MR_M01569515__Day_11__2026-04-08T13-53-18,MR_M01569515,Day_11,2026-04-08T13-53-18,65,16,16,True
MbL_M01569517__Day_11__2026-04-08T13-00-27,MbL_M01569517,Day_11,2026-04-08T13-00-27,1,1,1,True
MbL_M01569517__Day_11__2026-04-08T13-01-43,MbL_M01569517,Day_11,2026-04-08T13-01-43,41,33,33,True
MbL_M01569517__Day_11__2026-04-08T13-06-11,MbL_M01569517,Day_11,2026-04-08T13-06-11,65,19,19,True
