session,seconds,value,source_file
NoSoundCue,23888.176992000001,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23888.182496000001,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23888.182496000001,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23888.184000000001,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23889.180992000001,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23895.036,Target zone available (X Y : 797 485 - Radius : 150),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23902.017983999998,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23902.018975999999,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23902.020992000002,NosePokesLED ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23903.759488,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23903.759999999998,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23903.760992,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23904.021983999999,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23904.024000000001,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23904.040000000001,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23904.040991999998,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23904.045984,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23904.045984,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23904.046976000001,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23905.056,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23906.067999999999,Target zone available (X Y : 810 545 - Radius : 400),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23907.864000000001,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23907.864991999999,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23908.786496000001,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23908.788,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23908.788992000002,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23909.057983999999,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23909.058976,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23909.078976000001,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23909.080000000002,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23909.084992,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23909.084992,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23909.085984000001,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23910.096991999999,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23916.646976,Target zone available (X Y : 734 619 - Radius : 150),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23917.164000000001,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23917.164992000002,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23917.166976,NosePokesLED ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23918.860479999999,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23918.861983999999,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23918.862976,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23919.118976000002,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23919.120992,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23919.138975999998,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23919.139999999999,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23919.145504,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23919.145504,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23919.145983999999,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23920.162976,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23921.177984000002,Target zone available (X Y : 810 545 - Radius : 400),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23925.164000000001,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23925.165983999999,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23926.290976,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23926.292000000001,Reward at 15,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23926.292991999999,Pump ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23926.556,Performing inner rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23926.556992000002,Rotations complete,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23926.572992000001,Mask Sound ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23926.573983999999,NosePokes & CueTone OFF,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23926.584992,Start Trial,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23926.584992,Rotating nosepoke,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23926.588992000001,Start mismatch rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23927.608992000001,Performing outer rotations,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23935.349984,Target zone available (X Y : 1047 710 - Radius : 150),ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23938.563999999998,Target zone triggered,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23938.564992,Await poke - Cue Tone ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23938.566975999998,NosePokesLED ON,ExperimentEvents_1904-01-01T060000Z.csv
NoSoundCue,23941.284479999998,"Poke: {Success=True, ChosenPort=15, CorrectPort=15-}",ExperimentEvents_1904-01-01T060000Z.csv
