trial_index,start_time,end_time,TTP,ChosenPort,CorrectPort,outcome,LED,angle_offset,target_zone_size,mouseID,training/testing,day,session,dataset,session_dict,filter_profile
68,23925.098976,23961.820992,5.006015999999363,-1,7,Miss,OFF,,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
69,23962.820992,24015.518976,5.004000000000815,-1,7,Miss,OFF,,150.0,FbR_M01569522,training,Day_1,2026-04-21T155201Z,training,training_sessions,last_40
59,26538.84048,26620.588,3.5760000000009313,13,14,Failure,OFF,-20.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
60,26621.588,26629.956992,2.4969920000003185,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
61,26630.956992,26639.525984,2.8150080000013986,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
62,26640.525984,26656.364992,3.3040000000000873,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
63,26657.364992,26683.669984,4.259999999998399,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
64,26684.669984,26698.977984,5.0179840000018885,-1,14,Miss,OFF,,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
65,26699.977984,26707.653984,2.392992000000959,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
66,26708.653984,26720.629984,2.269983999998658,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
67,26721.629984,26730.073984,1.7139839999981632,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
68,26731.073984,26741.72448,2.1144960000019637,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
69,26742.72448,26752.143488,1.9335040000005392,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
70,26753.143488,26763.825504,1.765503999999055,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
71,26764.825504,26772.69248,1.7815040000023146,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
72,26773.69248,26781.849504,1.7875200000016775,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
73,26782.849504,26810.506976,3.9949760000017704,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
74,26811.506976,26818.833504,1.6225279999998747,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
75,26819.833504,26848.072,2.3630080000002636,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
76,26849.072,26878.404992,3.54399999999805,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
77,26879.404992,26891.549984,1.9889920000023267,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
78,26892.549984,26909.788,3.5280000000020664,14,14,Success,OFF,0.0,150.0,FbR_M01569522,training,Day_2,2026-04-23T165237Z,training,training_sessions,last_40
